# migrated: 2026-08-04 chart local-stamp -> true UTC (migrate.py)
# station: Vadamunai Unit Office
# unit_id: IDJ
# device_key: 47sh5lyygdk4
# type: rain   region: batticaloa
# value unit: mm   max_level_mm: 
# lat: 7.92291   lon: 81.25667
# source: rivernet.lk flood early-warning API (site-owner permission granted)
datetime_utc,datetime_local_530,value,received_at_utc,source
2026-08-04T06:37:00Z,2026-08-04 12:07:00,,2026-08-04T06:37:00Z,snapshot
2026-08-04T06:40:00Z,2026-08-04 12:10:00,,2026-08-04T06:40:00Z,snapshot
2026-08-04T08:55:00Z,2026-08-04 14:25:00,,2026-08-04T08:55:00Z,snapshot
2026-08-04T16:16:00Z,2026-08-04 21:46:00,,2026-08-04T16:16:00Z,snapshot
2026-08-04T19:04:00Z,2026-08-05 00:34:00,,2026-08-04T19:04:00Z,snapshot
2026-08-04T20:38:00Z,2026-08-05 02:08:00,,2026-08-04T20:38:00Z,snapshot
2026-08-04T21:53:00Z,2026-08-05 03:23:00,,2026-08-04T21:53:00Z,snapshot
