# station: Maalayarkattu Bridge
# unit_id: IDP
# device_key: q9noz41qfio
# type: river_level   region: batticaloa
# value unit: m   max_level_m: 6
# lat: 7.434   lon: 81.69227
# source: rivernet.lk flood early-warning API (site-owner permission granted)
datetime_utc,datetime_local_530,value,received_at_utc,source
2026-09-24T10:30:00Z,2026-09-24 16:00:00,0.51,,chart
2026-09-24T10:31:00Z,2026-09-24 16:01:00,0.51,,chart
2026-09-24T10:32:00Z,2026-09-24 16:02:00,0.51,,chart
2026-09-24T10:33:00Z,2026-09-24 16:03:00,0.51,,chart
2026-09-24T10:34:00Z,2026-09-24 16:04:00,0.51,,chart
2026-09-24T10:35:00Z,2026-09-24 16:05:00,0.51,,chart
2026-09-24T10:36:00Z,2026-09-24 16:06:00,0.51,,chart
2026-09-24T10:37:00Z,2026-09-24 16:07:00,0.51,,chart
2026-09-24T10:38:00Z,2026-09-24 16:08:00,0.51,,chart
2026-09-24T10:39:00Z,2026-09-24 16:09:00,0.51,,chart
2026-09-24T10:40:00Z,2026-09-24 16:10:00,0.51,,chart
2026-09-24T10:41:00Z,2026-09-24 16:11:00,0.51,,chart
2026-09-24T10:42:00Z,2026-09-24 16:12:00,0.51,,chart
2026-09-24T10:43:00Z,2026-09-24 16:13:00,0.51,,chart
2026-09-24T10:44:00Z,2026-09-24 16:14:00,0.51,,chart
2026-09-24T10:45:00Z,2026-09-24 16:15:00,0.51,,chart
2026-09-24T10:46:00Z,2026-09-24 16:16:00,0.51,,chart
2026-09-24T10:47:00Z,2026-09-24 16:17:00,0.51,,chart
2026-09-24T10:48:00Z,2026-09-24 16:18:00,0.51,,chart
2026-09-24T10:49:00Z,2026-09-24 16:19:00,0.51,,chart
2026-09-24T10:50:00Z,2026-09-24 16:20:00,0.51,,chart
2026-09-24T10:51:00Z,2026-09-24 16:21:00,0.51,,chart
2026-09-24T10:52:00Z,2026-09-24 16:22:00,0.51,,chart
2026-09-24T10:53:00Z,2026-09-24 16:23:00,0.51,,chart
