# station: Waripathanchena Bridge
# unit_id: IEI
# device_key: 4lr2qrunqdk4
# type: river_level   region: galoya
# value unit: m   max_level_m: 6
# lat: 0   lon: 0
# source: rivernet.lk flood early-warning API (site-owner permission granted)
datetime_utc,datetime_local_530,value,received_at_utc,source
2026-08-30T03:10:00Z,2026-08-30 08:40:00,0.69,,chart
2026-08-30T03:11:00Z,2026-08-30 08:41:00,0.69,,chart
2026-08-30T03:12:00Z,2026-08-30 08:42:00,0.69,,chart
2026-08-30T03:13:00Z,2026-08-30 08:43:00,0.69,,chart
2026-08-30T03:14:00Z,2026-08-30 08:44:00,0.69,,chart
2026-08-30T03:15:00Z,2026-08-30 08:45:00,0.69,,chart
2026-08-30T03:16:00Z,2026-08-30 08:46:00,0.69,,chart
2026-08-30T03:17:00Z,2026-08-30 08:47:00,0.69,,chart
2026-08-30T03:18:00Z,2026-08-30 08:48:00,0.69,,chart
2026-08-30T03:19:00Z,2026-08-30 08:49:00,0.69,,chart
2026-08-30T03:20:00Z,2026-08-30 08:50:00,0.69,,chart
2026-08-30T03:21:00Z,2026-08-30 08:51:00,0.69,,chart
2026-08-30T03:22:00Z,2026-08-30 08:52:00,0.69,,chart
2026-08-30T03:23:00Z,2026-08-30 08:53:00,0.69,,chart
2026-08-30T03:24:00Z,2026-08-30 08:54:00,0.69,,chart
2026-08-30T03:25:00Z,2026-08-30 08:55:00,0.69,,chart
2026-08-30T03:26:00Z,2026-08-30 08:56:00,0.69,,chart
2026-08-30T03:27:00Z,2026-08-30 08:57:00,0.69,,chart
2026-08-30T03:28:00Z,2026-08-30 08:58:00,0.69,,chart
2026-08-30T03:29:00Z,2026-08-30 08:59:00,0.69,,chart
2026-08-30T03:30:00Z,2026-08-30 09:00:00,0.69,,chart
2026-08-30T03:31:00Z,2026-08-30 09:01:00,0.69,,chart
2026-08-30T03:32:00Z,2026-08-30 09:02:00,0.69,,chart
2026-08-30T03:33:00Z,2026-08-30 09:03:00,0.69,,chart
2026-08-30T03:34:00Z,2026-08-30 09:04:00,0.69,,chart
2026-08-30T03:35:00Z,2026-08-30 09:05:00,0.68,,chart
2026-08-30T03:36:00Z,2026-08-30 09:06:00,0.68,,chart
2026-08-30T03:37:00Z,2026-08-30 09:07:00,0.68,,chart
2026-08-30T03:38:00Z,2026-08-30 09:08:00,0.68,,chart
2026-08-30T03:39:00Z,2026-08-30 09:09:00,0.68,,chart
2026-08-30T03:40:00Z,2026-08-30 09:10:00,0.68,,chart
2026-08-30T03:41:00Z,2026-08-30 09:11:00,0.68,,chart
2026-08-30T03:42:00Z,2026-08-30 09:12:00,0.68,,chart
2026-08-30T03:43:00Z,2026-08-30 09:13:00,0.68,,chart
2026-08-30T03:44:00Z,2026-08-30 09:14:00,0.68,,chart
2026-08-30T03:45:00Z,2026-08-30 09:15:00,0.68,,chart
2026-08-30T03:46:00Z,2026-08-30 09:16:00,0.68,,chart
2026-08-30T03:47:00Z,2026-08-30 09:17:00,0.68,,chart
2026-08-30T03:48:00Z,2026-08-30 09:18:00,0.68,,chart
2026-08-30T03:49:00Z,2026-08-30 09:19:00,0.68,,chart
2026-08-30T03:50:00Z,2026-08-30 09:20:00,0.68,,chart
2026-08-30T03:51:00Z,2026-08-30 09:21:00,0.68,,chart
2026-08-30T03:52:00Z,2026-08-30 09:22:00,0.68,,chart
2026-08-30T03:53:00Z,2026-08-30 09:23:00,0.68,,chart
2026-08-30T03:54:00Z,2026-08-30 09:24:00,0.68,,chart
2026-08-30T03:55:00Z,2026-08-30 09:25:00,0.68,,chart
2026-08-30T03:56:00Z,2026-08-30 09:26:00,0.68,,chart
2026-08-30T03:57:00Z,2026-08-30 09:27:00,0.68,,chart
2026-08-30T03:58:00Z,2026-08-30 09:28:00,0.68,,chart
2026-08-30T03:59:00Z,2026-08-30 09:29:00,0.68,,chart
2026-08-30T04:00:00Z,2026-08-30 09:30:00,0.68,,chart
2026-08-30T04:01:00Z,2026-08-30 09:31:00,0.68,,chart
2026-08-30T04:02:00Z,2026-08-30 09:32:00,0.68,,chart
2026-08-30T04:03:00Z,2026-08-30 09:33:00,0.68,,chart
2026-08-30T04:04:00Z,2026-08-30 09:34:00,0.68,,chart
2026-08-30T04:05:00Z,2026-08-30 09:35:00,0.68,,chart
2026-08-30T04:06:00Z,2026-08-30 09:36:00,0.68,,chart
2026-08-30T04:07:00Z,2026-08-30 09:37:00,0.68,,chart
2026-08-30T04:08:00Z,2026-08-30 09:38:00,0.68,,chart
2026-08-30T04:09:00Z,2026-08-30 09:39:00,0.68,,chart
2026-08-30T04:10:00Z,2026-08-30 09:40:00,0.68,,chart
2026-08-30T04:11:00Z,2026-08-30 09:41:00,0.68,,chart
2026-08-30T04:12:00Z,2026-08-30 09:42:00,0.68,,chart
2026-08-30T04:13:00Z,2026-08-30 09:43:00,0.68,,chart
2026-08-30T04:14:00Z,2026-08-30 09:44:00,0.68,,chart
2026-08-30T04:15:00Z,2026-08-30 09:45:00,0.68,,chart
2026-08-30T04:16:00Z,2026-08-30 09:46:00,0.68,,chart
2026-08-30T04:17:00Z,2026-08-30 09:47:00,0.68,,chart
2026-08-30T04:18:00Z,2026-08-30 09:48:00,0.68,,chart
2026-08-30T04:19:00Z,2026-08-30 09:49:00,0.68,,chart
2026-08-30T04:20:00Z,2026-08-30 09:50:00,0.68,,chart
2026-08-30T04:21:00Z,2026-08-30 09:51:00,0.68,,chart
2026-08-30T04:22:00Z,2026-08-30 09:52:00,0.68,,chart
2026-08-30T04:23:00Z,2026-08-30 09:53:00,0.68,,chart
2026-08-30T04:24:00Z,2026-08-30 09:54:00,0.68,,chart
2026-08-30T04:25:00Z,2026-08-30 09:55:00,0.68,,chart
2026-08-30T04:26:00Z,2026-08-30 09:56:00,0.68,,chart
2026-08-30T04:27:00Z,2026-08-30 09:57:00,0.68,,chart
2026-08-30T04:28:00Z,2026-08-30 09:58:00,0.68,,chart
2026-08-30T04:29:00Z,2026-08-30 09:59:00,0.68,,chart
2026-08-30T04:30:00Z,2026-08-30 10:00:00,0.68,,chart
2026-08-30T04:31:00Z,2026-08-30 10:01:00,0.68,,chart
2026-08-30T04:32:00Z,2026-08-30 10:02:00,0.68,,chart
2026-08-30T04:33:00Z,2026-08-30 10:03:00,0.68,,chart
2026-08-30T04:34:00Z,2026-08-30 10:04:00,0.68,,chart
2026-08-30T04:35:00Z,2026-08-30 10:05:00,0.68,,chart
2026-08-30T04:36:00Z,2026-08-30 10:06:00,0.68,,chart
2026-08-30T04:37:00Z,2026-08-30 10:07:00,0.68,,chart
2026-08-30T04:38:00Z,2026-08-30 10:08:00,0.68,,chart
2026-08-30T04:39:00Z,2026-08-30 10:09:00,0.68,,chart
2026-08-30T04:40:00Z,2026-08-30 10:10:00,0.68,,chart
2026-08-30T04:41:00Z,2026-08-30 10:11:00,0.68,,chart
2026-08-30T04:42:00Z,2026-08-30 10:12:00,0.68,,chart
2026-08-30T04:43:00Z,2026-08-30 10:13:00,0.68,,chart
2026-08-30T04:44:00Z,2026-08-30 10:14:00,0.68,,chart
2026-08-30T04:45:00Z,2026-08-30 10:15:00,0.68,,chart
2026-08-30T04:46:00Z,2026-08-30 10:16:00,0.68,,chart
2026-08-30T04:47:00Z,2026-08-30 10:17:00,0.68,,chart
2026-08-30T04:48:00Z,2026-08-30 10:18:00,0.68,,chart
2026-08-30T04:49:00Z,2026-08-30 10:19:00,0.68,,chart
2026-08-30T04:50:00Z,2026-08-30 10:20:00,0.68,,chart
2026-08-30T04:51:00Z,2026-08-30 10:21:00,0.68,,chart
2026-08-30T04:52:00Z,2026-08-30 10:22:00,0.68,,chart
2026-08-30T04:53:00Z,2026-08-30 10:23:00,0.68,,chart
2026-08-30T04:54:00Z,2026-08-30 10:24:00,0.68,,chart
2026-08-30T04:55:00Z,2026-08-30 10:25:00,0.68,,chart
2026-08-30T04:56:00Z,2026-08-30 10:26:00,0.68,,chart
2026-08-30T04:57:00Z,2026-08-30 10:27:00,0.68,,chart
2026-08-30T04:58:00Z,2026-08-30 10:28:00,0.68,,chart
2026-08-30T04:59:00Z,2026-08-30 10:29:00,0.68,,chart
2026-08-30T05:00:00Z,2026-08-30 10:30:00,0.68,,chart
2026-08-30T05:01:00Z,2026-08-30 10:31:00,0.68,,chart
2026-08-30T05:02:00Z,2026-08-30 10:32:00,0.68,,chart
2026-08-30T05:03:00Z,2026-08-30 10:33:00,0.68,,chart
2026-08-30T05:04:00Z,2026-08-30 10:34:00,0.68,,chart
